1,96,1292,359,403,161,1,-1,-1,-1
1,239,664,324,427,183,1,-1,-1,-1
2,96,1230,360,406,160,1,-1,-1,-1
2,239,581,328,420,182,1,-1,-1,-1
3,96,1168,362,409,160,1,-1,-1,-1
3,239,498,333,415,182,1,-1,-1,-1
4,96,1087,363,427,164,1,-1,-1,-1
4,121,757,280,143,120,1,-1,-1,-1
4,239,415,338,409,180,1,-1,-1,-1
5,96,1067,364,440,165,1,-1,-1,-1
5,121,757,280,143,120,1,-1,-1,-1
5,239,333,343,404,180,1,-1,-1,-1
6,96,1012,363,414,166,1,-1,-1,-1
6,121,757,280,143,120,1,-1,-1,-1
6,239,250,348,397,179,1,-1,-1,-1
7,96,937,365,418,169,1,-1,-1,-1
7,121,757,280,143,120,1,-1,-1,-1
7,239,167,353,392,179,1,-1,-1,-1
8,96,870,364,405,174,1,-1,-1,-1
8,121,757,280,143,120,1,-1,-1,-1
8,239,84,358,386,178,1,-1,-1,-1
9,96,781,389,439,165,1,-1,-1,-1
9,121,757,280,143,120,1,-1,-1,-1
9,239,2,363,381,178,1,-1,-1,-1
10,96,697,391,459,163,1,-1,-1,-1
10,121,757,280,143,120,1,-1,-1,-1
11,96,624,391,458,165,1,-1,-1,-1
11,97,1452,294,431,176,1,-1,-1,-1
11,121,757,280,143,120,1,-1,-1,-1
12,96,592,390,504,168,1,-1,-1,-1
12,97,1367,294,454,178,1,-1,-1,-1
12,121,757,280,143,120,1,-1,-1,-1
13,96,482,402,449,157,1,-1,-1,-1
13,97,1299,294,440,178,1,-1,-1,-1
13,121,757,280,143,120,1,-1,-1,-1
14,96,443,405,503,160,1,-1,-1,-1
14,97,1235,293,424,179,1,-1,-1,-1
14,121,757,280,143,120,1,-1,-1,-1
15,96,354,410,532,156,1,-1,-1,-1
15,97,1193,298,483,171,1,-1,-1,-1
15,121,757,280,143,120,1,-1,-1,-1
16,96,263,413,442,162,1,-1,-1,-1
16,97,1039,313,515,168,1,-1,-1,-1
16,121,757,280,143,120,1,-1,-1,-1
17,96,212,417,523,156,1,-1,-1,-1
17,97,1021,314,534,168,1,-1,-1,-1
17,121,757,280,143,120,1,-1,-1,-1
18,96,118,424,432,157,1,-1,-1,-1
18,97,936,317,528,169,1,-1,-1,-1
18,121,757,280,143,120,1,-1,-1,-1
19,96,72,425,502,154,1,-1,-1,-1
19,97,852,321,523,172,1,-1,-1,-1
19,121,757,280,143,120,1,-1,-1,-1
20,96,0,430,388,165,1,-1,-1,-1
20,97,768,325,517,173,1,-1,-1,-1
